# Calendario de Colchonero Café
#
# Una fila por evento. Edítalo en cualquier hoja de cálculo o editor de texto.
# Líneas que empiezan por "#" y líneas en blanco se ignoran.
#
# Columnas (la cabecera de abajo NO se borra):
#   date      OBLIGATORIO · fecha en formato AAAA-MM-DD   (p. ej. 2026-08-16)
#   time      opcional     · hora                          (p. ej. 21:00)
#   title     opcional     · rival o nombre del evento     (p. ej. Atleti vs Real Madrid)
#   location  opcional     · Casa / Fuera o el estadio     (p. ej. Metropolitano)
#   type      opcional     · tipo de evento; da el color   (Liga, Champions, Mundial, Copa, Amistoso, ...)
#
# Si un campo lleva una coma, ponlo entre comillas dobles: "Atleti vs Sevilla, jornada 1"
#
# Las horas están en hora peninsular española (CET/CEST). Algunos partidos del Mundial
# se juegan de madrugada en España, así que la fecha mostrada es la española.
# EU = Estados Unidos · MX = México · SE = Suecia.
#
date,time,title,location,type

# ── Mundial 2026 · partidos con jugadores del Atleti ──────────────────────────
# España: Marcos Llorente, Marc Pubill, Álex Baena
# Argentina: Julián Álvarez, Nahuel Molina, Giuliano Simeone, Juan Musso, Thiago Almada, Nicolás González
# Uruguay: José María Giménez
# Noruega: Alexander Sørloth
# México: Obed Vargas
2026-06-11,21:00,México vs Sudáfrica,Ciudad de México (MX),Mundial
2026-06-15,18:00,España vs Cabo Verde,Atlanta (EU),Mundial
2026-06-16,00:00,Uruguay vs Arabia Saudí,Miami (EU),Mundial
2026-06-17,00:00,Irak vs Noruega,Foxborough (EU),Mundial
2026-06-17,03:00,Argentina vs Argelia,Kansas City (EU),Mundial
2026-06-19,03:00,México vs Corea del Sur,Guadalajara (MX),Mundial
2026-06-21,18:00,España vs Arabia Saudí,Atlanta (EU),Mundial
2026-06-21,23:00,Uruguay vs Cabo Verde,Miami (EU),Mundial
2026-06-22,19:00,Argentina vs Austria,Arlington (EU),Mundial
2026-06-23,02:00,Noruega vs Senegal,East Rutherford (EU),Mundial
2026-06-25,03:00,Chequia vs México,Ciudad de México (MX),Mundial
2026-06-26,21:00,Noruega vs Francia,Foxborough (EU),Mundial
2026-06-27,02:00,España vs Uruguay,Guadalajara (MX),Mundial
2026-06-28,04:00,Argentina vs Jordania,Arlington (EU),Mundial
# A partir de aquí, los cruces de eliminatorias dependen de los resultados de grupos.
# Añádelos cuando se confirmen (octavos arrancan a partido del ~1 de julio).

# ── Atlético de Madrid · pretemporada y temporada 2026-27 ─────────────────────
# El calendario de LaLiga 26-27 se sortea el 30 de junio; las jornadas concretas
# del Atleti se añaden después de esa fecha. Lo confirmado a día de hoy:
2026-06-30,19:00,Sorteo del calendario de LaLiga 26-27,Madrid,Liga
2026-08-01,15:00,Atlético vs Manchester United,Estocolmo (SE),Amistoso
2026-08-15,,LaLiga · Jornada 1 (inicio de temporada),Por confirmar,Liga
2026-08-27,,Sorteo de la fase liga de la Champions,Mónaco,Champions
2027-06-05,,Final de la Champions League (Metropolitano),Madrid,Champions
